Year,Max,YearID,CountryID,Country,value,norm
1924-01-01,1.0,0,0,Austria,1.0,1.0
1924-01-01,1.0,0,1,Belgium,0.0,0.0
1924-01-01,1.0,0,2,Canada,0.0,0.0
1924-01-01,1.0,0,3,Finland,0.0,0.0
1924-01-01,1.0,0,4,France,0.0,0.0
1924-01-01,1.0,0,5,United Kingdom,1.0,1.0
1924-01-01,1.0,0,6,Norway,0.0,0.0
1924-01-01,1.0,0,7,Switzerland,0.0,0.0
1924-01-01,1.0,0,8,Sweden,0.0,0.0
1924-01-01,1.0,0,9,United States,1.0,1.0
1924-01-01,1.0,0,10,Germany,0.0,0.0
1924-01-01,1.0,0,11,Czechoslovakia,0.0,0.0
1924-01-01,1.0,0,12,Hungary,0.0,0.0
1924-01-01,1.0,0,13,Italy,0.0,0.0
1924-01-01,1.0,0,14,West Germany,0.0,0.0
1924-01-01,1.0,0,15,Netherlands,0.0,0.0
1924-01-01,1.0,0,16,Unified Team of Germany,0.0,0.0
1924-01-01,1.0,0,17,Japan,0.0,0.0
1924-01-01,1.0,0,18,Poland,0.0,0.0
1924-01-01,1.0,0,19,Soviet Union,0.0,0.0
1924-01-01,1.0,0,20,"Korea, North",0.0,0.0
1924-01-01,1.0,0,21,East Germany,0.0,0.0
1924-01-01,1.0,0,22,Romania,0.0,0.0
1924-01-01,1.0,0,23,Spain,0.0,0.0
1924-01-01,1.0,0,24,Liechtenstein,0.0,0.0
1924-01-01,1.0,0,25,Bulgaria,0.0,0.0
1924-01-01,1.0,0,26,Yugoslavia,0.0,0.0
1924-01-01,1.0,0,27,China,0.0,0.0
1924-01-01,1.0,0,28,Unified Team,0.0,0.0
1924-01-01,1.0,0,29,"Korea, South",0.0,0.0
1924-01-01,1.0,0,30,Luxembourg,0.0,0.0
1924-01-01,1.0,0,31,New Zealand,0.0,0.0
1924-01-01,1.0,0,32,Australia,0.0,0.0
1924-01-01,1.0,0,33,Belarus,0.0,0.0
1924-01-01,1.0,0,34,Kazakhstan,0.0,0.0
1924-01-01,1.0,0,35,Russia,0.0,0.0
1924-01-01,1.0,0,36,Slovenia,0.0,0.0
1924-01-01,1.0,0,37,Ukraine,0.0,0.0
1924-01-01,1.0,0,38,Uzbekistan,0.0,0.0
1924-01-01,1.0,0,39,Czech Republic,0.0,0.0
1924-01-01,1.0,0,40,Denmark,0.0,0.0
1924-01-01,1.0,0,41,Croatia,0.0,0.0
1924-01-01,1.0,0,42,Estonia,0.0,0.0
1924-01-01,1.0,0,43,Latvia,0.0,0.0
1924-01-01,1.0,0,44,Slovakia,0.0,0.0
1928-01-01,1.0,1,0,Austria,1.0,1.0
1928-01-01,1.0,1,1,Belgium,0.0,0.0
1928-01-01,1.0,1,2,Canada,0.0,0.0
1928-01-01,1.0,1,3,Finland,0.0,0.0
1928-01-01,1.0,1,4,France,0.0,0.0
1928-01-01,1.0,1,5,United Kingdom,0.0,0.0
1928-01-01,1.0,1,6,Norway,1.0,1.0
1928-01-01,1.0,1,7,Switzerland,0.0,0.0
1928-01-01,1.0,1,8,Sweden,0.0,0.0
1928-01-01,1.0,1,9,United States,1.0,1.0
1928-01-01,1.0,1,10,Germany,0.0,0.0
1928-01-01,1.0,1,11,Czechoslovakia,0.0,0.0
1928-01-01,1.0,1,12,Hungary,0.0,0.0
1928-01-01,1.0,1,13,Italy,0.0,0.0
1928-01-01,1.0,1,14,West Germany,0.0,0.0
1928-01-01,1.0,1,15,Netherlands,0.0,0.0
1928-01-01,1.0,1,16,Unified Team of Germany,0.0,0.0
1928-01-01,1.0,1,17,Japan,0.0,0.0
1928-01-01,1.0,1,18,Poland,0.0,0.0
1928-01-01,1.0,1,19,Soviet Union,0.0,0.0
1928-01-01,1.0,1,20,"Korea, North",0.0,0.0
1928-01-01,1.0,1,21,East Germany,0.0,0.0
1928-01-01,1.0,1,22,Romania,0.0,0.0
1928-01-01,1.0,1,23,Spain,0.0,0.0
1928-01-01,1.0,1,24,Liechtenstein,0.0,0.0
1928-01-01,1.0,1,25,Bulgaria,0.0,0.0
1928-01-01,1.0,1,26,Yugoslavia,0.0,0.0
1928-01-01,1.0,1,27,China,0.0,0.0
1928-01-01,1.0,1,28,Unified Team,0.0,0.0
1928-01-01,1.0,1,29,"Korea, South",0.0,0.0
1928-01-01,1.0,1,30,Luxembourg,0.0,0.0
1928-01-01,1.0,1,31,New Zealand,0.0,0.0
1928-01-01,1.0,1,32,Australia,0.0,0.0
1928-01-01,1.0,1,33,Belarus,0.0,0.0
1928-01-01,1.0,1,34,Kazakhstan,0.0,0.0
1928-01-01,1.0,1,35,Russia,0.0,0.0
1928-01-01,1.0,1,36,Slovenia,0.0,0.0
1928-01-01,1.0,1,37,Ukraine,0.0,0.0
1928-01-01,1.0,1,38,Uzbekistan,0.0,0.0
1928-01-01,1.0,1,39,Czech Republic,0.0,0.0
1928-01-01,1.0,1,40,Denmark,0.0,0.0
1928-01-01,1.0,1,41,Croatia,0.0,0.0
1928-01-01,1.0,1,42,Estonia,0.0,0.0
1928-01-01,1.0,1,43,Latvia,0.0,0.0
1928-01-01,1.0,1,44,Slovakia,0.0,0.0
1932-01-01,1.0,2,0,Austria,1.0,1.0
1932-01-01,1.0,2,1,Belgium,0.0,0.0
1932-01-01,1.0,2,2,Canada,0.0,0.0
1932-01-01,1.0,2,3,Finland,0.0,0.0
1932-01-01,1.0,2,4,France,0.0,0.0
1932-01-01,1.0,2,5,United Kingdom,0.0,0.0
1932-01-01,1.0,2,6,Norway,1.0,1.0
1932-01-01,1.0,2,7,Switzerland,0.0,0.0
1932-01-01,1.0,2,8,Sweden,0.0,0.0
1932-01-01,1.0,2,9,United States,1.0,1.0
1932-01-01,1.0,2,10,Germany,0.0,0.0
1932-01-01,1.0,2,11,Czechoslovakia,0.0,0.0
1932-01-01,1.0,2,12,Hungary,0.0,0.0
1932-01-01,1.0,2,13,Italy,0.0,0.0
1932-01-01,1.0,2,14,West Germany,0.0,0.0
1932-01-01,1.0,2,15,Netherlands,0.0,0.0
1932-01-01,1.0,2,16,Unified Team of Germany,0.0,0.0
1932-01-01,1.0,2,17,Japan,0.0,0.0
1932-01-01,1.0,2,18,Poland,0.0,0.0
1932-01-01,1.0,2,19,Soviet Union,0.0,0.0
1932-01-01,1.0,2,20,"Korea, North",0.0,0.0
1932-01-01,1.0,2,21,East Germany,0.0,0.0
1932-01-01,1.0,2,22,Romania,0.0,0.0
1932-01-01,1.0,2,23,Spain,0.0,0.0
1932-01-01,1.0,2,24,Liechtenstein,0.0,0.0
1932-01-01,1.0,2,25,Bulgaria,0.0,0.0
1932-01-01,1.0,2,26,Yugoslavia,0.0,0.0
1932-01-01,1.0,2,27,China,0.0,0.0
1932-01-01,1.0,2,28,Unified Team,0.0,0.0
1932-01-01,1.0,2,29,"Korea, South",0.0,0.0
1932-01-01,1.0,2,30,Luxembourg,0.0,0.0
1932-01-01,1.0,2,31,New Zealand,0.0,0.0
1932-01-01,1.0,2,32,Australia,0.0,0.0
1932-01-01,1.0,2,33,Belarus,0.0,0.0
1932-01-01,1.0,2,34,Kazakhstan,0.0,0.0
1932-01-01,1.0,2,35,Russia,0.0,0.0
1932-01-01,1.0,2,36,Slovenia,0.0,0.0
1932-01-01,1.0,2,37,Ukraine,0.0,0.0
1932-01-01,1.0,2,38,Uzbekistan,0.0,0.0
1932-01-01,1.0,2,39,Czech Republic,0.0,0.0
1932-01-01,1.0,2,40,Denmark,0.0,0.0
1932-01-01,1.0,2,41,Croatia,0.0,0.0
1932-01-01,1.0,2,42,Estonia,0.0,0.0
1932-01-01,1.0,2,43,Latvia,0.0,0.0
1932-01-01,1.0,2,44,Slovakia,0.0,0.0
1936-01-01,2.0,3,0,Austria,0.0,0.0
1936-01-01,2.0,3,1,Belgium,0.0,0.0
1936-01-01,2.0,3,2,Canada,0.0,0.0
1936-01-01,2.0,3,3,Finland,0.0,0.0
1936-01-01,2.0,3,4,France,0.0,0.0
1936-01-01,2.0,3,5,United Kingdom,1.0,0.5
1936-01-01,2.0,3,6,Norway,2.0,1.0
1936-01-01,2.0,3,7,Switzerland,0.0,0.0
1936-01-01,2.0,3,8,Sweden,1.0,0.5
1936-01-01,2.0,3,9,United States,0.0,0.0
1936-01-01,2.0,3,10,Germany,2.0,1.0
1936-01-01,2.0,3,11,Czechoslovakia,0.0,0.0
1936-01-01,2.0,3,12,Hungary,0.0,0.0
1936-01-01,2.0,3,13,Italy,0.0,0.0
1936-01-01,2.0,3,14,West Germany,0.0,0.0
1936-01-01,2.0,3,15,Netherlands,0.0,0.0
1936-01-01,2.0,3,16,Unified Team of Germany,0.0,0.0
1936-01-01,2.0,3,17,Japan,0.0,0.0
1936-01-01,2.0,3,18,Poland,0.0,0.0
1936-01-01,2.0,3,19,Soviet Union,0.0,0.0
1936-01-01,2.0,3,20,"Korea, North",0.0,0.0
1936-01-01,2.0,3,21,East Germany,0.0,0.0
1936-01-01,2.0,3,22,Romania,0.0,0.0
1936-01-01,2.0,3,23,Spain,0.0,0.0
1936-01-01,2.0,3,24,Liechtenstein,0.0,0.0
1936-01-01,2.0,3,25,Bulgaria,0.0,0.0
1936-01-01,2.0,3,26,Yugoslavia,0.0,0.0
1936-01-01,2.0,3,27,China,0.0,0.0
